Category1;Value1;Value2
B;8.404964664625945;12.118611891383162
D;10.867583271415853;16.390370317881676
E;6.596489867218348;22.879493926114876
C;5.59412370295266;30.62454655727375
C;10.999279273071599;17.99326187231197
C;10.258109768630607;22.935206354447217
A;11.689123724586146;16.8815129150191
B;11.779456095081784;32.44687969494348
B;6.195976796077875;20.631962562808372
A;14.428461522600998;11.012118746757881
B;10.794432109963916;17.750448539914967
B;7.724387153350179;16.26995289622536
B;9.368505041111243;26.655701331985966
D;11.734123538677018;22.381854123236074
B;9.881146977778183;11.093889418949965
B;11.668911230125762;19.784201158179563
B;8.600620134589093;11.434573306276901
C;9.068429859987567;24.359968473855844
B;11.072192189085328;21.215416785269266
D;10.27107832300002;24.998878492042923
E;7.0697369814123;13.05041411442116
D;12.123935823940979;21.48482355349117
B;12.221210718130655;31.62430082942889
B;10.252376097570918;14.677149207089549
C;9.242854011531584;11.301881616413702
E;10.117369636740653;24.764620353357802
E;12.598631267742466;27.381151329189255
B;9.68720413341121;25.438448514748952
D;10.184661548544252;24.922655765040606
C;6.932396924920969;30.218138511175567
A;11.218374947724502;19.3177154382855
D;6.6858227995631685;24.37120115425157
E;11.562652249941811;24.27024892858203
C;10.074544282171948;27.15377710624484
A;7.233728585502655;16.781662642786667
B;11.145625765243013;26.64245720327815
B;8.717306745188381;21.668885997690538
C;11.79087190682371;21.12406370522877
A;9.307868896479478;13.091802637663037
A;11.187708898916297;19.67164805212131
B;8.65589905089867;25.712786129199195
C;10.236181208354814;30.700672771430668
A;12.290498895798933;21.751267717926012
D;10.347171346313178;35.162768314103936
A;8.947595590662692;27.853394224567214
A;12.281334667667013;25.336440011676164
A;8.11154428639393;21.49791348210798
E;13.954450552241676;19.778792837793418
B;9.545941770383081;23.543566427992747
B;15.841333730286554;22.049531347124326
B;10.987410046609492;21.661541242904146
B;10.930072194506266;19.962594701908756
B;13.58658308555517;23.973775045468958
B;8.426947630783662;12.570038403217794
B;9.225844091411007;18.993549794449105
B;8.679867574492418;19.970390540582855
B;7.882019907612962;20.20152049283286
C;8.491285551739885;14.969766426313129
B;10.967437741401266;20.022920551654053
C;11.317289447022613;14.504881581194176
B;11.174433559600692;32.232466778122586
B;9.130360318640035;25.57067130262319
C;6.661170202016121;5.646472729768874
E;8.408733250127378;18.030712614707816
B;7.371063277772703;12.57584947618026
C;9.217782007770419;32.590330553754924
C;7.741408287482646;21.926041105752986
C;6.816747832196672;17.908702552519088
B;6.444279336238443;17.78340026627874
C;11.126740041070756;26.621782463896587
C;13.128643994788346;18.877208185202036
B;9.224985828407041;19.857768795224207
A;8.125403153480848;25.742265140347325
B;6.624910345135364;27.15885012958186
B;9.609756275134663;24.81474485860361
C;10.814350313473538;25.783466290917495
B;10.45046137473982;15.590707887790973
E;9.169888133237887;25.455251037023906
C;8.823461070342676;17.068949585152126
C;12.116290143400809;26.767533483056987
B;10.041485194730509;32.23376791659132
C;7.369901417689329;20.88400644503964
A;9.895311174686409;7.426239198989274
A;6.345615879114284;25.925855822529343
C;7.9974092397027965;15.468098795578868
B;11.04633860050486;24.30758617650214
B;10.451520886829282;27.718259506705273
B;9.086254496855936;24.88740140247369
D;8.027362057021708;23.350721192245526
B;9.260745154996682;28.067385102030634
D;11.683643481604076;11.15922390986116
D;11.821144341890532;25.5138108555089
A;7.518545654759213;10.536439239892749
C;12.854931516852158;28.869009772534746
E;9.315455143276711;26.622191460900133
C;11.181534759482028;18.557122195217435
B;10.924183689678946;22.189939802239124
B;10.379576873323225;21.363722346284273
A;10.521474243187843;30.045000639936745
B;12.0506403010816;21.183933168033242
E;10.150323190127256;32.58574621583081
B;11.337324696594145;28.24602224998587
A;8.18831997470725;20.832447285113528
B;10.141478562759852;25.519286089922623
B;10.193756010316326;14.458523188229831
B;7.980400353520206;15.954687750048999
C;7.9527516033595465;21.906536838610062
B;10.831783331174222;22.67923469233205
A;11.990826360736866;23.411354223321514
E;12.277211964162351;11.521766171587371
A;11.206320028045823;22.993256216238283
B;9.276987587785346;13.861355986323694
B;9.783817075831726;7.213028276554647
C;8.59468257881715;19.48272249317141
A;9.306409310932736;21.57580133261177
E;9.003335029114798;17.081927122124135
A;10.67668606093125;28.929222531063466
D;8.873969784247034;20.18940781478921
B;9.768773171297923;13.980666471874217
B;10.899802531608165;20.932975256276045
E;7.682253159896522;22.710931273712028
B;11.27009896843513;26.562854194731734
B;10.683729443974196;24.280982113503907
C;12.87240510452861;21.284980414677662
D;12.063567256046476;24.56244670388889
E;8.482489859501566;19.902201470897637
C;8.45774322213274;21.026543217221683
A;8.462842063649832;30.22210629553268
B;10.099758751569754;28.1060242036118
C;9.254440924184035;26.77379970999461
B;10.231989650310119;32.61906542556529
E;8.8179895255819;33.16029508215044
B;11.165249098635933;16.518117717106104
B;10.948299191947676;9.56327583315541
C;6.740619546138261;16.45955041273976
C;7.417227253073373;9.461056040505824
B;8.303304786036838;10.913453581771375
B;10.133006312357944;20.39143932616618
C;11.184100541658987;19.401595595467175
C;9.679357708605053;18.983467059842404
C;9.381109590363938;17.72217757876788
B;10.38749705260322;15.844081867348589
B;12.027326137862124;21.952012777593687
E;8.154982831638577;20.369776088780544
C;8.434549164691136;26.475007704777553
B;8.385897599819634;17.71281126050659
B;13.44376165934419;24.281436794979893
B;9.976225468893688;20.1913249168815
A;9.382126368574855;19.20045155379016
A;12.284394644033124;22.260538630538086
B;9.816605846336591;12.179955771853788
B;9.887936635869064;29.648160618517977
C;9.102319033053178;14.110187822908726
B;8.937210487742693;14.510481294929082
B;10.361323420423487;24.63193179854643
B;11.454602530152574;11.953118694461635
B;11.90092712012853;12.418617685700172
D;9.018541263868254;24.745471510895626
B;7.950154844622278;25.64150855650742
E;6.768524846406576;20.149610115422064
C;6.867171021535201;24.12648514149941
A;10.799203421322781;21.273425006995843
D;12.442269193920879;16.62719468293567
B;14.127958254492176;23.513472710857723
D;10.143347840034842;18.82081352943835
B;9.648620540889421;16.72067683451857
A;6.96586210711254;15.532925169418075
A;12.748431208666018;28.430237923135095
C;9.166966805763984;11.641450375807231
B;8.612106064417997;21.581589858110057
A;11.523355983539432;12.184094714189376
C;10.129145246693298;17.12284868903775
A;9.196851522960634;18.507820813095652
C;8.132357499946611;20.82080855526543
A;8.605539680882568;23.844094741396976
E;10.25052199144195;27.478906230188727
A;11.850384974105063;33.458023784444805
B;12.453131440770726;29.18973244184624
D;9.535553638627066;19.032298486170944
B;6.809416485857777;28.344550066649987
B;10.282208860424708;10.2972287140868
B;8.152600634936771;14.325360765802976
A;11.003627918720268;27.626016436222912
A;9.813451958397467;9.765439639318187
B;10.495130176963311;21.234143688751285
E;13.198630758574172;10.121210533205348
A;9.169635120533451;22.518766287052866
A;11.459386769943192;30.8412023722868
A;9.121970457486729;11.06067225658466
B;11.626827295809417;19.48603557192617
C;11.95213358107598;23.37268541149377
A;10.63661021924939;19.41404814039154
A;8.563422922345033;19.729129387404953
E;10.8233730563219;22.443514416066513
B;11.936201873570523;21.935377896433156
B;8.505951650438627;17.16608302185702
D;10.272268235645166;15.59151881316371
A;12.883278616014193;19.79452007686988
C;11.1757483383881;21.53490203017696
D;13.772766964797333;29.365607843696417
A;8.990858243550928;29.52860728470847
E;7.983798817220842;13.26471504273966
B;8.293450215896877;20.863380691160305
B;9.870093276467406;28.589887755812512
C;7.869066886903984;16.419060593313684
C;8.847633508109839;18.7996732850009
A;8.04529656006216;20.710252418317893
E;12.042488195516633;24.503174760995357
C;10.242422243423764;26.892219173520207
A;7.91748018832204;18.26159668218706
B;13.701182978658364;17.714119618456735
E;7.173274771512974;22.95188931089965
B;12.250539326395314;21.249206592491824
B;10.540172920340877;22.85722740811404
C;8.808579706517488;17.53038571368209
A;12.04196756657497;25.867883626364904
C;9.753231056915943;20.61507693942419
E;11.394916764923014;7.315095670000057
C;10.756145625235884;18.22811894358395
C;7.507719629117832;18.82658383353589
E;11.555481374045632;28.61271372228896
C;10.242602419953414;20.001837264141592
C;11.32945833274108;24.631013070050606
C;11.018102525283823;15.344361976112136
E;10.47460159741384;24.476459095287552
B;11.119842492920627;25.53297574346066
B;13.858498786360622;19.688226922951287
B;12.288636123100675;13.786239580101153
B;8.23482300148152;17.425432907192544
E;9.466261781258652;27.86192787086243
B;8.87382019679095;21.980557093881295
B;11.791213049189116;5.892108055371503
C;10.345977904486302;29.03268246665829
A;11.106329739511995;18.974986763746923
E;7.957922237878979;27.353516708079784
A;10.900105268461346;16.21987994805349
D;8.624491203992264;13.984894267870295
C;10.424692617117207;17.835853839953856
B;6.083222850938228;16.050384364669238
D;8.64075826502436;19.324373594696173
D;8.730738918961586;31.914420312633226
D;9.624932886443368;29.24724186124471
D;11.213040126711482;16.70338631930948
C;9.53688073351458;30.164504939393904
C;12.609205739590816;12.556976403100027
A;11.17684035456169;20.822787266005182
A;7.208180700373326;25.843394832543932
A;9.344040888760441;16.279891002159815
B;8.938006295729203;19.908944243569312
E;16.567466157518794;20.270708483540258
B;13.829520513805225;21.50100415555859
A;9.359953511187829;18.01604942208245
C;12.24542928806316;29.984212536093168
B;9.39037956996275;26.688910350969124
B;8.96830191973978;14.670602783592436
B;10.859797924478833;16.287464320275426
B;12.793128767212208;23.4821810726461
C;7.3117565738603005;23.532674338627817
B;9.886004493959495;30.905108390792478
C;4.948557933522299;24.95909122574974
B;10.763977545958149;8.65154154871016
B;11.628379951326695;16.811356680260182
B;8.763426897037373;23.26712423430093
A;7.887208102874589;17.726656316986887
A;7.090411723767512;23.699960748565967
A;12.364053525608522;34.94875053732197
A;9.53084404987288;28.30360412365638
B;10.984484010928183;12.67647522959785
A;8.172990911979795;11.921660919048922
C;7.697462730096182;25.638873441969945
A;7.867868165489856;15.539233507839068
A;6.919196605229694;14.259680472542165
B;11.32267404914122;16.452793438809177
C;7.676499560413419;31.000172587112733
D;9.77343462062455;19.15421053615502
E;9.980815420318493;15.789975536715367
C;10.185513014654376;22.26055591617873
B;8.19579511590058;30.38216372750437
B;8.877055742055607;16.8790536070243
C;14.954896237241483;33.82811453576074
A;9.085208332957523;29.36111371230939
D;10.606836335487037;28.473100231117833
B;12.12103526513253;22.12500132128389
E;2.8279808754016154;23.567639825444044
A;9.376009930955085;16.7491265938849
A;13.334545433982832;12.231277909606277
A;8.86807005211392;23.487830728075114
C;9.638841719866853;25.508433824812442
C;6.7082531317006495;22.605427209765477
A;9.739499743345714;23.29863773708737
C;11.117509275521222;15.439621627339804
B;11.805282397520253;21.097904348357716
B;13.057512446009884;17.67847514165817
B;13.822336256524268;16.719681865628218
B;11.83398524677839;25.9236730511144
C;10.74641631050631;20.0769854159855
D;9.508110868035313;15.635832713345199
A;11.841169794932918;16.979837267705932
E;11.00181714270776;26.877228723905873
B;11.026682339324719;25.02610019276068
B;9.282981862783869;17.126794854783487
C;10.284198332442603;25.457440904637146
C;12.105975528701961;24.6287769054919
A;7.22274709402056;16.351713586234823
C;13.678623074077537;21.654030586884552
B;12.542383045845693;22.026911027830426
C;14.542976831398484;15.484377452375398
B;10.825312916398197;16.585898853354813
B;7.624160072959244;18.16223584615282
C;11.77548779998202;21.447465591602906
E;11.26837728411204;20.613076944522412
B;10.496637756609276;14.389135747749531
E;9.497324314676584;17.13380376173407
A;7.477853845536172;7.992378710656615
B;14.644376191730561;24.593939018313602
B;10.528528181642134;18.416812413860796
C;9.31696192801392;13.324778775587006
A;10.959331172122855;20.329335800046394
E;7.1924814873793625;21.298578482524466
D;11.253509263373713;15.424206382640374
D;8.366692392806135;33.93792902956193
D;7.9920073954779545;19.502904290934865
C;7.377020931573581;26.238736610504482
A;10.98744118736536;15.10022764775601
D;8.352595752373233;28.66012436135101
D;8.046642163103755;19.468798366309
C;8.532539368622679;27.99229448537253
E;8.30297293680618;24.169062935763417
B;10.326795172520313;29.2153615260803
A;11.322550307208978;22.073596328265147
C;7.338266183312675;15.295424628188485
D;10.564015463319532;15.704045748809685
B;14.039811929635032;17.375084431953425
A;13.508290821132398;29.64856385308208
B;11.771031838485694;12.547704199505924
B;8.489470762957703;22.35108211210305
E;8.025633951634239;27.925584780705037
C;9.734603990923507;16.13939568250241
B;5.397679375989992;18.03190157462057
D;8.187632252914183;23.467324461911335
C;10.601668601484302;23.29021209868184
A;8.74464090532746;23.858130441354263
A;11.918397951788751;25.029816373602024
A;9.537132908226589;29.15304144520043
B;9.76863873423719;21.339283789799453
C;12.454328034029878;21.933024762795338
B;10.543583607062546;20.356056831528583
E;10.643689865818564;27.613532980859546
A;8.970121704782102;23.357284756214355
A;11.862680018387357;15.062477109535495
E;7.736734338118209;22.01931343770651
B;11.77479808880019;19.76037615137212
C;8.207534861206435;16.3528939587096
A;10.355623388056864;15.214720673536213
B;11.037643329023105;22.004268769879282
C;7.910311641604156;20.119095911421507
C;8.435810944653582;7.8055398890130885
E;7.552260896278073;26.82179797041801
C;10.351973873840294;19.909909024845195
C;8.267368297354578;27.02039919247217
B;11.153829217871227;16.05466164337381
A;12.106547818334343;17.086705807632846
B;7.5626796211751035;12.544696092834677
C;8.49408564848008;19.171609245464182
C;11.105994604195683;25.661250562595733
C;11.50940658453814;34.14963655482069
B;7.464029745938426;30.644718769888698
A;9.487854459086714;20.795263204604574
B;11.890590210431172;17.43969719947623
B;8.787276254632712;25.206600463950842
D;7.781951839662035;17.838468212834048
D;9.493255895938518;17.825055437671004
B;9.635564951534047;7.353508946296641
A;11.23476519662268;22.139438616505196
B;8.047408688629238;10.415659514814969
A;9.957576541134042;23.775940324311627
E;9.547284013983045;20.117925137854822
B;8.835400824890183;30.726870422973665
B;10.159171907524794;25.710700744398274
B;11.252508035272225;23.869276695423412
B;6.965550875771894;24.186691727197452
A;14.064628226763821;8.685192306446636
A;9.833452658544775;19.1647938367969
B;11.348319997685145;12.390520149010307
E;9.269798126589063;12.49565522498861
B;11.599104432926355;15.815219307901462
B;9.463875549324355;16.3647141366315
C;11.567044949119676;18.922258603086963
C;10.756186164736906;13.526594051899874
A;10.025547179416058;17.666444292613136
C;6.52695985235543;19.83449709975424
C;11.574550659263895;16.99261123606864
A;11.261970316525677;19.536026417653275
B;8.43571704622261;17.003291849178762
B;12.008228953816396;8.07762930624625
B;10.657641084530963;17.879729397977954
B;11.773971363212944;15.018264962160233
B;9.48706544005125;14.407966389044098
C;11.342902026026813;18.306381861294952
C;9.27204669738318;32.706805884611
B;7.866247225408673;27.22632170338555
C;8.866903293039261;23.46792998153513
E;8.619938438672772;16.12593023874274
A;13.771485612808778;14.484665603586942
B;7.410459903067162;17.71941365856849
A;11.312629452065632;18.79819008436735
B;12.12448348925;17.332005187548887
B;12.128054078879389;17.43258526943783
D;10.393782119075965;16.652717861775976
B;12.463894190869564;16.521412190197317
B;11.240929812659084;9.815065076434307
A;8.497158761949292;24.30755657380454
B;8.303413065198503;19.998207822154352
C;11.00901014976674;13.6705456878456
B;8.617067213540489;12.788892869459987
A;10.688839603741272;21.081250033001062
B;12.025589632584307;26.459133188447147
B;8.540539884257882;24.268288453328598
C;3.955559957896721;10.229011576519614
B;13.001076190345156;28.000821938351137
D;11.839188338988006;18.410381490623546
B;8.899368312942801;35.430864874075276
B;12.833616855402544;27.409300012077146
A;7.566943892791861;22.014119451700576
B;13.07612204138412;22.55066255359286
E;8.19779287919031;24.83374684049997
B;10.322060693839683;16.09893571137855
D;10.664953150148943;19.037055397672987
C;8.899457626644162;19.223208369863812
A;11.234324999017746;24.381131963362467
A;8.003815103792729;18.75034815494535
C;8.142697614018974;21.395829741446857
B;9.247208569989674;17.13895251885412
A;10.48183678117726;3.8254782262711444
B;10.128537095446019;17.70293153192885
B;8.308875102824693;12.911985536024732
A;8.814173922237984;17.356512031041945
C;9.692387181437358;27.028180999660478
C;8.190952180712813;27.44808473674625
A;8.796542681676446;20.650292348918573
B;12.631567771515716;17.414086742632307
A;7.869515225554837;11.56940142030132
C;9.458558004974973;13.463399657651898
A;6.12413198507034;29.935405504658718
A;10.03857470661294;13.141221102085758
E;11.03426541266917;24.56782799159003
D;8.11660072521691;9.260095139113814
C;12.594372712494089;11.957256590801345
C;10.428707776909597;22.511899095938546
C;9.389554488885784;27.44966318980367
E;12.779051939529365;23.165014156880712
B;10.537252554897412;23.64133004333317
B;11.623198815077297;21.997453044023786
A;8.401318259602583;25.466673318217275
A;8.929101783718586;17.928634502036843
A;9.885660994288246;22.078835740816544
A;12.482680341060323;8.39179854856525
C;9.500147034253745;20.439567246038617
B;12.928066247015389;6.951354031322381
C;8.521850765780734;23.89972729326281
A;11.650368142230095;29.37954169127545
C;9.855498028376413;19.63596123454286
B;11.921607363720195;21.873552466999826
A;9.621404998920918;23.760090327827804
C;9.398415254474244;29.55079608459717
D;9.468222620640406;17.243329437806928
B;10.175711835147;12.046261392939318
C;10.576855923845956;28.960418648263172
B;12.093161480914656;25.947205314119774
B;8.7415032764693;12.881929073687335
E;10.300614202367264;9.81841690007427
B;7.8427381626814725;19.63357308487591
B;8.845104107399612;20.56740964815631
B;8.860385678008722;23.832933625557832
A;9.377963639482646;23.639836224261625
C;9.176197344247903;32.965562815320695
C;11.274212356152058;9.908273129477184
B;12.299636092656785;26.684783953072102
B;7.447568675148689;19.071666566671407
B;10.203787482273999;31.87188569436044
A;10.215614072770007;20.607022550922878
B;11.566928478413615;29.821558340237985
B;9.87179539272404;19.160394337702243
B;12.363033862540254;21.209786437466693
E;9.8497426405983;24.643278616786823
A;8.115386319178151;27.08686950891822
E;10.851792685602138;25.769301206180792
C;10.615435986345437;25.028755208123247
D;9.91063641827878;23.71125934475011
B;11.356687130249924;14.581984098393924
C;9.135828602139018;9.549742675275196
A;11.32664138266725;24.594783491051768
A;14.688761564611799;18.95760624636668
B;10.9604980739581;24.95326380989436
D;9.067580673821809;13.099402396645713
C;11.64945344768341;25.362152202043603
A;16.003772755939544;17.45860394610017
B;7.379965259378109;18.392388739427812
B;10.790632483345764;18.877044313086518
B;10.41951167248691;26.092043034166004
E;8.919241011988921;30.01733152518024
A;6.134670380725018;28.25631549956224
C;8.651486533385976;20.632046848235163
A;12.920990220655353;20.676425320501842
B;7.784693375706885;17.35873227219798
D;9.814241303715677;23.567234121173474
C;8.049366923693759;13.744285654533869
A;8.291684964804345;13.854728703673361
A;11.84320045354424;15.789359635520231
E;10.029705237079035;10.195603208693655
B;8.514351025671003;19.91619560678021
D;7.648449406228961;16.87774745770882
A;8.006076531976007;12.692077585863824
B;15.061368976254077;27.098815302863073
C;5.438468555799999;19.46469253528367
